index,titulo_y,ubicacion_y,precio_num,habitaciones_num,baños_num,metros_num,superficie_construida_num,superficie_util_num,link,url,lat,lon
354,"Apartamento en calle de Velarde, 13",Universidad-Malasaña (Distrito Centro. Madrid Capital),3600.0,4.0,2.0,152.0,152.0,152.0,https://www.pisos.com/alquilar/apartamento-universidad_malasana28004-40933041284_527206/,https://www.pisos.com/alquilar/apartamento-universidad_malasana28004-40933041284_527206/,40.42676244254777,-3.703196960948633
355,Chalet en Alpedrete,Alpedrete,2200.0,3.0,2.0,322.0,322.0,251.0,https://www.pisos.com/alquilar/chalet-alpedrete_centro_urbano-46722213638_100500/,https://www.pisos.com/alquilar/chalet-alpedrete_centro_urbano-46722213638_100500/,40.6588024,-4.0337132
356,"Piso en calle de Ribadavia, 6",Pilar (Distrito Fuencarral-El Pardo. Madrid Capital),1800.0,4.0,2.0,143.0,143.0,114.0,https://www.pisos.com/alquilar/piso-pilar28029-53406851186_100500/,https://www.pisos.com/alquilar/piso-pilar28029-53406851186_100500/,,
357,Piso en calle del Ángel,Palacio (Distrito Centro. Madrid Capital),1250.0,1.0,1.0,55.0,55.0,48.0,https://www.pisos.com/alquilar/piso-centro_palacio28005-49214393386_529055/,https://www.pisos.com/alquilar/piso-centro_palacio28005-49214393386_529055/,40.4102872,-3.7120722
358,Piso en calle de Tortosa,Palos de Moguer (Distrito Arganzuela. Madrid Capital),1200.0,1.0,1.0,34.0,34.0,32.0,https://www.pisos.com/alquilar/piso-palos_de_moguer28045-49220502435_529055/,https://www.pisos.com/alquilar/piso-palos_de_moguer28045-49220502435_529055/,40.4060229,-3.6922018
359,Piso en calle de Hortaleza,Justicia-Chueca (Distrito Centro. Madrid Capital),3200.0,2.0,2.0,100.0,100.0,91.0,https://www.pisos.com/alquilar/piso-justicia_chueca28004-44255813117_100500/,https://www.pisos.com/alquilar/piso-justicia_chueca28004-44255813117_100500/,40.4229578,-3.6990514
360,Piso en calle de Jesús Aprendiz,Niño Jesús (Distrito Retiro. Madrid Capital),2850.0,3.0,3.0,221.0,221.0,172.0,https://www.pisos.com/alquilar/piso-nino_jesus28007-50048048894_528990/,https://www.pisos.com/alquilar/piso-nino_jesus28007-50048048894_528990/,40.408906006,-3.671313667
361,"Dúplex en calle de San Martín de Porres, 41",Valdezarza (Distrito Moncloa-Aravaca. Madrid Capital),1500.0,2.0,1.0,40.0,40.0,40.0,https://www.pisos.com/alquilar/duplex-valdezarza28035-40901566427_527206/,https://www.pisos.com/alquilar/duplex-valdezarza28035-40901566427_527206/,40.46940106384709,-3.728529451960803
363,Piso en calle de Belén,Justicia-Chueca (Distrito Centro. Madrid Capital),3000.0,1.0,1.0,78.0,78.0,70.0,https://www.pisos.com/alquilar/piso-justicia_chueca28004-53333901482_100500/,https://www.pisos.com/alquilar/piso-justicia_chueca28004-53333901482_100500/,40.4241518,-3.6962562
364,Piso en calle de Agustín Querol,Jerónimos (Distrito Retiro. Madrid Capital),3800.0,3.0,2.0,103.0,103.0,80.0,https://www.pisos.com/alquilar/piso-jeronimos28014-53428837529_100500/,https://www.pisos.com/alquilar/piso-jeronimos28014-53428837529_100500/,40.4076042,-3.68307
367,Dúplex en Plaza de España,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),6000.0,3.0,3.0,163.0,163.0,150.0,https://www.pisos.com/alquilar/duplex-moncloa_aravaca_arguelles28008-53389840590_100500/,https://www.pisos.com/alquilar/duplex-moncloa_aravaca_arguelles28008-53389840590_100500/,40.4222648,-3.7140611
