timestamp,titulo,precio,ubicacion,habitaciones,baños,metros,link
2025-04-09T17:36:09.293497,Loft en calle de Thomas Edison,240.000 €,Casco (Rivas-Vaciamadrid),2 habs.,1 baño,64 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:09.360622,Chalet en Avenida del Pinar,660.000 €,Campo Real,5 habs.,4 baños,420 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:09.430467,Casa pareada en Centro,613.000 €,Centro (Rivas-Vaciamadrid),4 habs.,3 baños,213 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:09.493431,Piso en Moscardó,199.900 €,Moscardó (Distrito Usera. Madrid Capital),1 baño,45 m²,,https://www.pisos.com/comprar/piso-moscardo28026-52566049434_100200/
2025-04-09T17:36:09.564389,Piso en calle Fernando ´El Católico´,750.000 €,Arapiles (Distrito Chamberí. Madrid Capital),4 habs.,1 baño,110 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:09.636961,Piso en calle de Navayuncosa,147.000 €,Aldea del Fresno,3 habs.,1 baño,110 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:09.706920,Chalet adosado en calle de Numancia,950.000 €,Zona Carretera del Plantío (Majadahonda),12 habs.,6 baños,440 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:09.780675,Casa adosada en calle de Santa Teresa,249.000 €,Talamanca de Jarama,4 habs.,3 baños,158 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:09.853018,Piso en Goya,1.390.000 €,Goya (Distrito Barrio de Salamanca. Madrid Capital),3 habs.,3 baños,141 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:09.931001,Chalet en calle Águila Real,230.000 €,Aldea del Fresno,3 habs.,2 baños,114 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:10.001410,"Piso en calle de la Plata, s/n",417.900 €,Zona Sureste (Torrejón de Ardoz),3 habs.,2 baños,106 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:10.078586,Piso en calle de Matilde Hernández,380.000 €,San Isidro (Distrito Carabanchel. Madrid Capital),2 habs.,2 baños,97 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:10.145282,Piso en calle del Cantueso,325.000 €,Valdeacederas (Distrito Tetuán. Madrid Capital),2 habs.,1 baño,62 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:10.216531,Piso en Madrid,875.000 €,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),4 habs.,2 baños,140 m²,https://www.pisos.com/venta/pisos-madrid/95/#
2025-04-09T17:36:10.286951,Piso en calle de Ventura de la Vega,1.589.000 €,Cortes-Huertas (Distrito Centro. Madrid Capital),3 habs.,3 baños,136 m²,https://www.pisos.com/venta/pisos-madrid/95/#
