titulo_y,ubicacion_y,precio_num,habitaciones_num,baños_num,metros_num,superficie_construida_num,superficie_util_num,link,es_outlier
Apartamento en calle de Salustiano Olozaga,Recoletos (Distrito Barrio de Salamanca. Madrid Capital),7800.0,5.0,5.0,206.0,206.0,,https://www.pisos.com/alquilar/apartamento-recoletos28001-52557643098_101800/,True
Apartamento en calle de Génova,Justicia-Chueca (Distrito Centro. Madrid Capital),6750.0,3.0,3.0,187.0,187.0,,https://www.pisos.com/alquilar/apartamento-justicia_chueca28004-38429880369_101800/,True
Ático en Golf-El Carralero,Golf-El Carralero (Majadahonda),6750.0,4.0,3.0,192.0,192.0,,https://www.pisos.com/alquilar/atico-golf_el_carralero28220-50849882056_101800/,True
Casa adosada en calle de Romero Girón,Hispanoamérica (Distrito Chamartín. Madrid Capital),6900.0,6.0,6.0,570.0,570.0,540.0,https://www.pisos.com/alquilar/casa_adosada-chamartin_hispanoamerica28036-19220092216_517093/,True
Piso en Distrito Salamanca,Recoletos (Distrito Salamanca. Madrid Capital),10000.0,3.0,4.0,235.0,235.0,,https://www.pisos.com/alquilar/piso-recoletos28001-49246819768_108900/,True
Apartamento en calle de Luis Martínez Feduchi,Encinar de los Reyes (La Moraleja),7000.0,3.0,3.0,260.0,260.0,,https://www.pisos.com/alquilar/apartamento-la_moraleja_encinar_de_los_reyes28055-53421635395_101800/,True
Apartamento en Justicia-Chueca,Justicia-Chueca (Distrito Centro. Madrid Capital),6500.0,4.0,4.0,191.0,191.0,,https://www.pisos.com/alquilar/apartamento-justicia_chueca28004-50910708706_101800/,True
Apartamento en calle de Villanueva,Recoletos (Distrito Barrio de Salamanca. Madrid Capital),7800.0,2.0,3.0,200.0,200.0,,https://www.pisos.com/alquilar/apartamento-recoletos28001-51752498920_101800/,True
Apartamento en Justicia-Chueca,Justicia-Chueca (Distrito Centro. Madrid Capital),6500.0,3.0,3.0,191.0,,,https://www.pisos.com/alquilar/apartamento-justicia_chueca28004-45888580404_101800/,True
Apartamento en Castellana,Castellana (Distrito Salamanca. Madrid Capital),6000.0,4.0,3.0,240.0,240.0,,https://www.pisos.com/alquilar/apartamento-salamanca_castellana28006-45883935476_101800/,True
Apartamento en Castellana,Castellana (Distrito Barrio de Salamanca. Madrid Capital),5900.0,2.0,2.0,139.0,139.0,,https://www.pisos.com/alquilar/apartamento-barrio_de_salamanca_castellana28001-52535395064_101800/,True
Chalet en Valdecabañas,Valdecabañas (Boadilla del Monte),7500.0,4.0,3.0,635.0,635.0,,https://www.pisos.com/alquilar/chalet-boadilla_del_monte_valdecabanas-52524287071_108500/,True
Piso en Castellana,Castellana (Distrito Salamanca. Madrid Capital),11000.0,5.0,5.0,392.0,392.0,,https://www.pisos.com/alquilar/piso-salamanca_castellana28001-38372267674_101800/,True
