titulo,ubicacion,precio,habitaciones,baños,metros,superficie_construida,link,url,lat,lon,piso,casa,atico,estudio,apartamento,duplex,chalet,finca,loft,conservacion,precio_m2,distrito
Apartamento en calle de Carretas,Sol,1800.0,1.0,1.0,70.0,70.0,https://www.pisos.com/alquilar/apartamento-sol_barrio28012-50878425188_996542/,https://www.pisos.com/alquilar/apartamento-sol_barrio28012-50878425188_996542/,40.4154019,-3.7031039,False,False,False,False,True,False,False,False,False,Reformado,25.0,Centro
"Piso en calle de Ocaña, 120",Aluche,2000.0,5.0,2.0,164.0,164.0,https://www.pisos.com/alquilar/piso-latina_aluche28047-50055885760_103800/,https://www.pisos.com/alquilar/piso-latina_aluche28047-50055885760_103800/,40.3862,-3.7535,True,False,False,False,False,False,False,False,False,En buen estado,12.0,Latina
Piso en Chueca,Justicia-Chueca,2800.0,2.0,2.0,180.0,180.0,https://www.pisos.com/alquilar/piso-justicia_chueca28004-945856909480195_109700/,https://www.pisos.com/alquilar/piso-justicia_chueca28004-945856909480195_109700/,40.4222665,-3.7000179,True,False,False,False,False,False,False,False,False,Reformado,15.0,Centro
Piso en calle de Santa Ana,Embajadores-Lavapiés,1800.0,3.0,1.0,65.0,65.0,https://www.pisos.com/alquilar/piso-centro_embajadores_lavapies28005-29235874465_100500/,https://www.pisos.com/alquilar/piso-centro_embajadores_lavapies28005-29235874465_100500/,40.4094353,-3.7093671,True,False,False,False,False,False,False,False,False,En buen estado,27.0,Centro
Piso en calle de Bailén,Palacio,3185.0,2.0,2.0,86.0,86.0,https://www.pisos.com/alquilar/piso-centro_palacio28005-43339000685_100500/,https://www.pisos.com/alquilar/piso-centro_palacio28005-43339000685_100500/,40.4116153,-3.7140538,True,False,False,False,False,False,False,False,False,En buen estado,34.0,Centro
Piso en calle Hscienda de Pavones,Pavones,1250.0,3.0,1.0,93.0,93.0,https://www.pisos.com/alquilar/piso-pavones-52555197818_100900/,https://www.pisos.com/alquilar/piso-pavones-52555197818_100900/,40.400530116,-3.634863222,True,False,False,False,False,False,False,False,False,En buen estado,13.0,Moratalaz
"Apartamento en calle de Ayala, 74",Goya,1400.0,1.0,1.0,70.0,70.0,https://www.pisos.com/alquilar/apartamento-goya28001-50904420247_991150/,https://www.pisos.com/alquilar/apartamento-goya28001-50904420247_991150/,40.42738,-3.679167,False,False,False,False,True,False,False,False,False,En buen estado,20.0,Salamanca
Piso en Avenida de la Ciudad de Barcelona,Adelfas,3300.0,3.0,2.0,115.0,115.0,https://www.pisos.com/alquilar/piso-adelfas28007-48358210950_996542/,https://www.pisos.com/alquilar/piso-adelfas28007-48358210950_996542/,40.4000205,-3.6728632,True,False,False,False,False,False,False,False,False,En buen estado,28.0,Retiro
Ático en calle de Fuencarral,Universidad-Malasaña,3120.0,2.0,2.0,76.0,76.0,https://www.pisos.com/alquilar/atico-universidad_malasana28004-43413963461_100500/,https://www.pisos.com/alquilar/atico-universidad_malasana28004-43413963461_100500/,40.4224764,-3.7007223,False,False,True,False,False,False,False,False,False,En buen estado,41.0,Centro
Piso en calle del Doce de Octubre,Niño Jesús,3540.0,2.0,1.0,76.0,76.0,https://www.pisos.com/alquilar/piso-nino_jesus28009-48373375347_100500/,https://www.pisos.com/alquilar/piso-nino_jesus28009-48373375347_100500/,40.4157587,-3.6752437,True,False,False,False,False,False,False,False,False,En buen estado,46.0,Retiro
